"offering_id","title","tutor_name","platform_name","difficulty_level","price","rating","description","Mode","num_enrollments","offering_type","location","certifications"
"50.0","Twentieth Century Fiction","Prof. Avishek Parui","nptel","unknown","free","null","This course seeks to study some of the key texts in late nineteenth-century and twentieth-century fiction that engage with issues such as imperialism, modernity, trauma, embodiment, agency and identity. Through a careful study of selected literary texts and their cultural contexts, the course aims to offer a complex understanding of fiction, reality and representation.","online","626.0","db3","remote","yes"
"56.0","Information Security- II","Prof. Kamakoti","nptel","unknown","free","null","Building Secure Systems involve secure hardware, secure micro architecture, secure operating systems, secure compilers and secure application development. Out of these, ensuring security at the hardware is most crucial as it is THE ROOT OF TRUST. In other words, however secure the Operating System, Compilers and Applications be, if the hardware on which these thrive is not secure, then the entire system can be compromised. The security of the system is a collective responsibility of Hardware and Software. In this second course in the Information Security series we shall deal with the hardware infrastructure available in contemporary architectures that are vital for building secure systems. We shall take the x86, ARM and PowerPC based architectures as case studies to explain the concepts.","online","0.0","db3","remote","yes"
"57.0","MATLAB Programming for Numerical Computation","Prof. Niket Kaisare","nptel","unknown","free","null","MATLAB is a popular language for numerical computation. This course introduces students to MATLAB programming, and demonstrate it?s use for scientific computations. The basis of computational techniques are expounded through various coding examples and problems, and practical ways to use MATLAB will be discussed.
 The objective of this course is to introduce undergraduate students to computational methods using MATLAB. At the end of this course, a student would:
 Learn basics of MATLAB programmingGet introduced to numerical methods for engineering problemsWill be able to use MATLAB to solve computational problems","online","3394.0","db3","remote","yes"
"60.0","Rocket Propulsion","Prof. K. Ramamurthi","nptel","unknown","free","null","The fundamental aspects of rockets and the current trends in rocket propulsion are dealt with in this course. Starting with description of motion in space, the requirements of rockets for placing space-crafts in different orbits and escaping the gravitational fields of the planets are examined. The operating principles and design aspects of solid propellant, liquid propellant, electrical, nuclear and other types of rockets are dealt with.","online","4035.0","db3","remote","yes"
"69.0","Irrigation and Drainage","Prof. Damodhra Rao Mailapalli","nptel","unknown","free","null","Agricultural engineers have been applying scientific principles for the
 optimal use of natural resources in agricultural production for the benefit
 of humankind. This particular course deals with application of both
 irrigation and drainage principles in agriculture for achieving profitable
 crop production with minimal environmental implications. This is one of
 the core courses of Agricultural Engineering program recommended for
 under graduate and graduate students. In this course we will focus on soilwater-
 plant-atmosphere relationship, crop water requirement, irrigation
 scheduling, irrigation water conveyance, measurement of irrigation water,
 water application methods, irrigation systems design and their
 performance evaluation, drainage of agricultural lands, management of
 salt affected soils, performance evaluation of drainage systems, ground
 water hydrology, irrigation wells and water-lifting devices-pumps. It
 involves weekly quizzes, in-class numerical problem solving, assignments
 and class tests.","online","1119.0","db3","remote","yes"
"71.0","Computational Chemistry and Classical Molecular Dynamics","Bhalachandra L. Tembe","nptel","unknown","free","null","This course introduces learners to elementary programming and numerical methods that are useful to solve problems in chemistry. These methods are useful for understanding molecular structures as well as condensed media such as liquids and solutions. For rapid calculations, the public domain software Scilab is used and applications to several numerical methods relevant to chemistry are discussed. Basic mathematical background is provided wherever necessary. Classical molecular dynamics simulations are performed using the public domain software gromacs. Installation procedures as well explicit calculations are demonstrated. All these calculations can be performed on a personal computer.","online","0.0","db3","remote","yes"
"72.0","Marketing Management-I","Prof. Jayanta Chatterjee","nptel","unknown","free","null","This is part-I of a course on Marketing Management. The objective of the course is to introduce the participants to principles and practices, theoretical building blocks of marketing, its role as an organizational engine and the evolving marketing process of today. At the end of the course, a participant will be able to understand and manage the core marketing management function.","online","5282.0","db3","remote","yes"
"80.0","Medicinal Chemistry","Prof.Harinath Chakrapani","nptel","unknown","free","null","The main objective of this course is to familiarize students with the fundamental concepts of drug discovery and development. The course is intended for students who have a background in chemistry and interested in the process of drug discovery. The intended outcome is to train students on various aspects of new drug discovery/development, drug screening, target identification, lead discovery, optimization and the molecular basis of drug design and drug action.","online","3015.0","db3","remote","yes"
"82.0","Energy Resources, Economics and Environment","Prof. Rangan Banerjee","nptel","unknown","free","null","This course will equip students with the tools necessary for economic analysis and quantification of impacts of energy systems. We will review the availability of energy resources and study methods for quantification of resource depletion and scarcity. The course will cover basic concepts in economics and their application to energy systems. Tools and techniques for project economics for an individual/ company perspective and macro-decision making for society will be introduced. We will discuss basic concepts of welfare economics and environmental economics that are necessary for energy systems analysis and their environmental impacts.","online","1652.0","db3","remote","yes"
"85.0","Design, Technology and Innovation","Prof. B. K. Chakravarthy","nptel","unknown","free","null","This course focusses on the three cores of any successful product or system: The Design, Technology and Innovation. Through various case studies from different departments, these three aspects are showcased to show the complete journey from research to innovation.","online","1993.0","db3","remote","yes"
"92.0","Applied Ergonomics","Prof. Shantanu Bhattacharya","nptel","unknown","free","null","Ergonomics is an applied scientific discipline that is concerned with how humans interact with the system/equipment/surrounding while performing tasks and other activities. Syllabus includes Introduction, Physical, Cognitive, Occupational and biome chanics aspect. The course syllabus is designed so as to cover work physiology, Engineering aspect of product, improvement in the cognitive capabilities so and so forth. Students will be able to correlate the understanding of this subject with their day to day activities and will be aware of concepts related to increase in the human efficiency","online","1138.0","db3","remote","yes"
"93.0","Experimental Stress Analysis - An Overview","Prof. K. Ramesh","nptel","unknown","free","null","Experimental methods exploit a particular physical phenomenon to make measurements and hence only certain information that can be recorded by an experimental technique. The course introduces the physical principle used by various experimental techniques and also provides a guideline to select an experimental technique for a given application. The role of analytical, 
 numerical and experimental methods in solving a problem in solid mechanics is discussed. 
 Stress and strain at a point is discussed in most courses on solid mechanics but little attention is 
 paid on the variation of these quantities over the field of the model. Attention is drawn on the 
 richness of whole field information provided by most of the optical techniques.","online","0.0","db3","remote","yes"
"95.0","Embedded Systems-Design Verification and Test","Santosh Biswas","nptel","unknown","free","null","An embedded system (ES) can be described as a computing system which is part of a larger physical system. Examples of ESs range from a simple elevator controller to a complex avionics control system. Unlike a general purpose computer system, ESs are typically designed for specific functionalities, often with stringent performance objectives and constraints related to real-time accuracy, area, power, cost etc. Their implementations may include both software and hardware components and may necessitate integration with sensors and actuators. The increase in complexity of modern ESs mandates automation in their design. Given a system which we intend to implement, the design process majorly evolves through distinct but often overlapping and iterative phases which include,i. modeling of the intended system behavior, ii. design of appropriate structural representations and implementation methodologies, corresponding to the specified behavior, iii. verification and validation of the correctness and performance related properties that the designed system should satisfy, and iv. testing whether the prototyped / manufactured implementation actually performs the required behaviour. The proposed course will systematically cover all these topics so that the student gains an end-to-end understanding of the overall ES design process.","online","0.0","db3","remote","yes"
"96.0","Introduction to Operations Research","Prof. G. Srinivasan","nptel","unknown","free","null","Operations Research (OR) is a discipline that helps to make better decisions in complex scenarios by the application of a set of advanced analytical methods. It couples theories, results and theorems of mathematics, statistics and probability with its own theories and algorithms for problem solving. Applications of OR techniques spread over various fields in engineering, management and public systems.This course introduces the students to the following topics Linear Programming,Transportation problems
 Assignment problems.Advanced topics on duality.At the end of this course students will be able to understand, formulate linear programming problems and applications.","online","1364.0","db3","remote","yes"
"97.0","Mathematical Methods in Physics 2","Prof. Auditya Sharma","nptel","unknown","free","null","This would be the second of a two-part series on Mathematical Methods in Physics. The aim here is to provide a solid mathematical foundation for the budding Physicist eager to climb the ladder of self-learning. This course is designed to cater to an undergraduate student who excitedly embarks on a study of Physics, but is obstructed by the mathematics which appears so forbidding. The approach we will follow is one of showing many examples, and weaving the theory around examples. When possible, we will show how Mathematica can be used to offer extra insight.","online","540.0","db3","remote","yes"
"114.0","Functional Genomics","Prof. S. Ganesh","nptel","unknown","free","null","With the emergence of high throughput DNA sequencing technologies, the complete genome sequences of many organisms are deciphered and are being analyzed. Despite the progress, understanding the cellular functions of most the genes thus identified remains a challenge. The emerging field of Ã¢â¬ÅFunctional GenomicsÃ¢â¬Â aims at providing comprehensive approaches to understand the genome functions, to develop and promote high throughput and large scale approaches to investigate the function of the genomes, their products and the interactions between the two. This course thus will provide an overview of the concept of Functional Genomics and contemporary approaches used to understand the genome function.","online","0.0","db3","remote","yes"
"116.0","Introduction To Molecular Thermodynamics","Prof. Srabani Taraphder","nptel","unknown","free","null","This course is designed to use fundamental concepts of statistical
 mechanics in simple real world problems. Starting from simple molecular
 models of systems like solids, liquids and gases, the students would
 learn how to obtain their thermodynamic properties that are usually
 measured in experiments.","online","354.0","db3","remote","yes"
"121.0","English Language for Competitive Exams","Prof. Aysha Iqbal","nptel","unknown","free","null","The course aims to help participants develop their English language skills , particularly those planning to appear for competitive exams that test their English language abilities. During a span of 30 hours, students will be exposed to material that facilitates aspects of grammar, writing and vocabulary.","online","15124.0","db3","remote","yes"
"122.0","C Programming and Assembly Language","Prof.Janakiraman Viraraghavan","nptel","unknown","free","null","Students who complete their bachelors degree (BE/ BTech) in computer science or electrical engineering do extensive course work in Microprocessors and then in C programming. However, what is missing in the current curriculum is to explicitly establish the link between the two. Specifically we look at how a C program is translated to assembly language and how it eventually gets executed on a microprocessor. Through, animations we show what happens in the stack, data and code segment, of the microprocessor when a C program is executed.","online","15642.0","db3","remote","yes"
"126.0","Manufacturing Automation","Prof. Sounak Kumar Choudhury","nptel","unknown","free","null","The course will basically deal with the following topics:
 
 1. Introduction: Definition; Types of automation; Reasons for automating; Automation strategies.
 2. Detroit type automation : Automated flow lines: types and their selection; Methods of workpart transport; Transfer mechanisms; Controlling of automated flow lines.
 3. Analysis of automated flow lines: System aspects of designing and running the line; Average production time and production rate; Line efficiency; Analysis of transfer lines without storage ÃÂ¢Ãâ¬Ãâ upper bound and lower bound approach; Partial automation.
 4. Automated assembly systems: Historical developments of the assembly process; Choice of assembly methods; Design for automated assembly; Transfer systems; Vibratory bowl feeders ÃÂ¢Ãâ¬Ãâ its analysis; Non-vibratory feeders and their analysis; Analysis and design of part orienting devices, feed tracks and part placing mechanisms.
 5. Orientation of parts in automatic assembly: In-Bowl and Out-of-Bowl Toolings; Typical Orienting Systems: Wiper Blade, Pressure Break, slot in the track; Analysis of Part Orienting Systems; Examples of Out-of-Bowl Toolings; Feed Tracks: Analysis of Horizontal Delivery Feed Track; ÃÂ¢Ãâ¬ÃÅON-OFFÃÂ¢Ãâ¬ÃÂ Sensors; Reliability of Feeding.","online","1878.0","db3","remote","yes"
"129.0","Computational Electromagnetics & Applications","Prof. Krish Sankaran","nptel","unknown","free","null","Accurately predicting the behaviour of electromagnetic systems is a key element in developing novel applications. Computational electromagnetics is an interesting domain bridging theory and experiment. This course is for people who are interested in deepening their knowledge about modelling electromagnetic systems and who wanted to build a strong foundation in the underlying physics. In addition to important modelling techniques widely used for electromagnetic applications, we will also introduce algebraic topology based modelling method which is not widely known to engineering community.
 
 
 
 
 
 
 
 
 
 
 
 The course is targeted at students and researchers from science, engineering and applied mathematics background who wanted to understand the dynamics of electromagnetic systems. People working in R&D in industries will also benefit from this course. We also use simulations to explain some of the underlying physics and mathematics.","online","0.0","db3","remote","yes"
"132.0","Appreciating Linguistics: A typological approach","Prof.Anindita Sahoo","nptel","unknown","free","null","This course appreciates linguistics as an academic discipline that focuses on the understanding of what is natural language and what does systematicity of language comparison deals with. Following the typological approach, this course investigates both the structure (form) and usage (function) of language. Because of its focus on the issue of language typology, this course deals with the languages of the world in terms of the grammatical features they have in common. This eventually leads to the discussion on language types and their implications. The data from various language families (with a special mention to South Asian Languages) will be examined in the class which will help the participants to understand how various grammatical constructions are realized in different languages.","online","248.0","db3","remote","yes"
"140.0","Structural analysis-I","Prof. Amit Shaw","nptel","unknown","free","null","This is an elementary course on Structural Analysis. Various methods and their underlying mechanics in determining response of structures when subjected to external agitation will be discussed in this course. This course is comprehensive at the basic level. Journey through this course will help students to build the foundation for more advanced courses related to structural engineering.","online","3229.0","db3","remote","yes"
"147.0","Feminism : Concepts and Theories","Prof.Mathangi Krishnamurthy","nptel","unknown","free","null","This course will evaluate the rise and trajectory of the feminist movement and concepts surrounding feminism. We will look at the ways in which feminism has developed, its mandate, its goals, its necessity, and its contemporary import. Through case studies, literature, ethnography, and theory, we will examine how it matters and why it is critical to our everyday lives.","online","1214.0","db3","remote","yes"
"148.0","Immunology","Prof.SUDIP KUMAR GHOSH","nptel","unknown","free","null","The course will provide basic knowledge of Immunology for UG students in the field of Life Science and Biotechnology. The course introduces students to a wide range of topics in immunology starting from cells of immune system, innate and adaptive immune systems, humoral immunity, antibody structure and function, basic immunological techniques, autoimmunity, hypersensitivity and vaccine production. The course is well balanced with the basics of immunology as well as advanced topics delivered easily for UG students in particular.","online","5659.0","db3","remote","yes"
"152.0","Applied Environmental Microbiology","Prof. Gargi Singh","nptel","unknown","free","null","This course prepares the student to address pressing environmental challenges by developing a fundamental understanding of the microbial communities and processes in natural and built environments. It lays and builds upon the foundation of basic microbiology, microbial energetics, and diversity, to applying tools provided by microbiology ranging from traditional to state of art for addressing relevant environmental concerns. It provides an indepth exploration of the diverse role microbes and microbial communities and includes topics such as: cell structure and elements, microbial energetics and diversity, ecology and population dynamics, environmental microbial processes including biogeochemical cycling, and microbes involved in biodeterioration and bioremediation.","online","2341.0","db3","remote","yes"
"155.0","Basic Building Blocks of Microwave Engineering","Dr. Amitabha Bhattacharya","nptel","unknown","free","null","The course will introduce three basic building blocks of microwave engineering viz. microwave transmission system, passive circuit components at microwave frequency and microwave active devices. The lectures would try to emphasize the need to understand the blocks in somewhat detail so that key design concepts behind a microwave network are grasped. The course would lay the foundation for further exploring the vast area of microwave engineering analysis and design.","online","0.0","db3","remote","yes"
"157.0","Speaking Effectively","Prof. Anjali Gera Roy","nptel","unknown","free","null","This course aims to introduce learners to the dynamics of effective spoken communication by establishing speaking as an autonomous medium with a distinctive vocabulary, syntax, structure, style and register. It will enable learners to participate in one to one interactions, in small groups and before a group. Learners are expected to master the fundamentals of speaking such as vocabulary, body language, pronunciation and basic conversation skills before they move on to more advanced activities such as appearing in interviews, making formal presentations and participating in meetings.","online","13455.0","db3","remote","yes"
"173.0","Matrix Method of Structural Analysis","Prof. Amit Shaw","nptel","unknown","free","null","This is a second level course on structural analysis. Herein the concept of matrix method of structural analysis with application in various
 structural components will be discussed. This course will serve as a bridge between structural analysis 1 (the first course on structural
 analysis) and more advance topic such as finite element method (FEM)","online","1051.0","db3","remote","yes"
"178.0","Metals in Biology","Prof. D. Maiti","nptel","unknown","free","null","Metals are the vital component of any biosystem. Starting from transporting biochemicals to catalyzing biochemical transformations, almost every process requires presence of a metal center. In order to understand these processes knowledge of specific functions carried out by these metals are necessary. This course will be helpful to understand the fundamental properties of the metals present in biosystems and mechanism of their action.","online","504.0","db3","remote","yes"
"180.0","Transport phenomena","Prof. Sunando Dasgupta","nptel","unknown","free","null","This is a fundamental subject for all Chemical Engineering students and is also important in disciplines as diverse as Mechanical Engineering, Biotechnology and Nanotechnology. Over the last few decades, the subject has revolutionized the way engineering science is taught. This course deals with the unified treatment of the different transport processes, ubiquitous in industry as well as in nature. Momentum, heat and mass transfer are taught together due to the underlying similarities of the mathematics and molecular mechanisms describing such processes. The students will be made aware of the core scientific connections and will be encouraged to solve problems based on relevant analogies.","online","270.0","db3","remote","yes"
"182.0","Principles Of Organic Synthesis","Prof.T Punniyamurthy","nptel","unknown","free","null","The course has nine modules starting from the formation of acid-catalyzed carbon-carbon bond formation to application of the modern transition metal catalysis. Students of graduate and post graduate preparing for NET and GATE examination will find this course extremely useful.","online","566.0","db3","remote","yes"
"184.0","Risk and Reliability of offshore structures","Prof. Srinivasan Chandrasekaran","nptel","unknown","free","null","Considering the importance of offshore structures, one has to recognize that there are other intrinsic uncertainties such as material properties, analysis methods, design procedures etc, which are addressed rationally. A detailed knowledge of reliability of offshore structures using probabilistic tools becomes need of the hour for both industry and academia. Offshore activities, on one hand, lead to increase in societal wealth, and, on the other hand, make society vulnerable to risks. An offshore engineer is usually accountable for the decisions that he takes. A hallmark of professionalism is to quantify the risks and benefits involved. The present course aims to introduce the basics of the structural reliability analysis procedures. The Registrants would benefit from the course by learning the basics of reliability-based design and principles underlying code calibration, which would provide the groundwork to embark upon research in this field. Key focus will be on safety and reliability issues of offshore facilities during analysis and design, inspection and planning.","online","0.0","db3","remote","yes"
"189.0","Digital Image Processing","Prof. Prabir Kumar Biswas","nptel","unknown","free","null","Digital image processing deals with processing of images which are digital in nature. Study of the subject is motivated by three major applications. The first application is in improvement of pictorial information for human perception i.e. enhancing the quality of the image so that the image will have a better look. The second is for autonomous machine applications which have wider applications in industries, particularly for quality control in assembly automation and many similar applications. Another major application area is in efficient storage and transmission of images. This course will introduce various image processing techniques, algorithms and their applications.","online","0.0","db3","remote","yes"
"196.0","Digital System Design","Prof. Neeraj Goel","nptel","unknown","free","null","Digital system design course focuses on design digital system from scratch. The course focuses on designing combinational and sequential building blocks, using these building blocks to design bigger digital systems. During this course we also learn how to use Verilog to design/model a digital system.","online","2943.0","db3","remote","yes"
"201.0","Introduction to Accounting and Finance for Civil Engineers","Prof. Sudhir Misra","nptel","unknown","free","null","With the changing paradigm of the construction industry, and introduction of different contracting models, with the government trying to play more of a regulatory role and withdrawing from financial commitments, and the space being occupied by financial institutions, civil engineers in the modern day are expected to be familiar with basic accounting and finance. This aspect is almost completely missing from any curriculum in civil engineering and hence there is a need to make relevant material available in an online course, which students and practicing engineers can refer to at their convenience.
 Regular assignments and a final test will also be uploaded along with solutions as may be required.","online","1401.0","db3","remote","yes"
"207.0","Digital Switching - I","Dr.Y.N.Singh","nptel","unknown","free","null","The course will introduce the learners to basics of digital telephony. It will start with crossbar switch and move to theory of switches. Towards end, packet switching basics will be looked into.","online","2093.0","db3","remote","yes"
"211.0","Data Analysis and Decision Making - I","Dr. Raghu Nandan Sengupta","nptel","unknown","free","null","This is the first part of the three part course (DADM-I, DADM-II, DADM-III) which covers Operations Research and its tools with applications. In general Decision Analysis and Decision Making (DADM) covers three main areas which are: Operations Research and its tools with applications, Other Decision Making Models like DEA, AHP, ANP, TOPSIS, etc., and Multivariate Statistical Analysis with its applications. These three part DADM course will be more practical and application oriented rather than theoretical in nature.","online","0.0","db3","remote","yes"
"213.0","Corrosion - Part I","Dr. Kallol Mondal","nptel","unknown","free","null","The course will begin with emphasis on the importance of studying Corrosion of materials. Fundamentals of corrosion will be addressed from the angle of thermodynamics and kinetics of electrochemical phenomena. Different forms of corrosion related to materials and mixed potential theory will be discussed. Finally, electrochemical ways of protection of metals and alloys will be explained.","online","586.0","db3","remote","yes"
"214.0","Computational Complexity Theory","Prof. Raghunath Tewari","nptel","unknown","free","null","In this course we study mathematical techniques that enable us to show the power and limitations of various computational models. We consider these models by putting restrictions on the resources that the model can use and study the class of problems that are solvable by these models. We also compare the various classes that are thus obtained and try to give relations between them.","online","614.0","db3","remote","yes"
"222.0","Managerial Economics","Prof. Trupti Mishra","nptel","unknown","free","null","This course will introduce the students to different concepts, theories, tools and schools of thoughts in economics and their application on business decision/research problem.
 All functional areas of management derive their basic principles and concepts from economics. The objective of this course is to acquaint students with basic tools and concepts of micro economic analysis and their application to managerial decision making. This course will enable students to analyze firm-level economic problems and to take informed and optimal decisions subject to various constraints and objectives.","online","1608.0","db3","remote","yes"
"224.0","Principles of Construction Management","Prof. Sudhir Misra","nptel","unknown","free","null","Though the course primarily targets students of civil engineering in colleges, other engineering students may also find it interesting. The course seeks to present a rounded view of the divers issues involved in the management of construction projects, and includes aspects like construction economics, quality and safety management, and contract management, apart from time management and scheduling, estimation. It is hoped that engineers working in contracting, consulting and other organizations related to construction projects will also find the course useful.","online","6326.0","db3","remote","yes"
"226.0","Organometallic Chemistry","Prof. D. Maiti","nptel","unknown","free","null","The course covers the basis of organometallic reactions starting from the basic knowledge of inorganic chemistry. It includes a portion of some famous cross coupling reactions like Heck reaction, Suzuki reaction, etc. which are of great utility in modern day synthetic chemistry.","online","0.0","db3","remote","yes"
"232.0","Principles of Human Resource Management","Prof. Aradhana Malik","nptel","unknown","free","null","Management of human resources is the most important function in any organization. It is essential to achieve a balance between caring for one?s employees, helping them work to their maximum potential and achieving the goals of an organization through the work the employees put in. This course is specifically designed to sensitize students who are preparing to enter the workforce to issues related to workforce management.","online","0.0","db3","remote","yes"
"233.0","Elements of Visual Representation","Prof. Shatarupa Thakurta Roy","nptel","unknown","free","null","Visual Art is compulsorily a successful visual arrangement. Visual Representation is a mode of non-linguistic and nonverbal communication. It involves a wide range of symbolic icons that cannot be comprehended solely through intuition. The course introduces numerous theoretical constructs that enable its audiences to primarily understand the nature of visual medium and eventually develop a visual vocabulary to decode visual messages with a semiotic approach. The knowledge is instrumental in visual analysis, critical art appreciation, theoretical and practical art and design endeavors.","online","0.0","db3","remote","yes"
"235.0","Networks and systems","Prof. Andrew Thangaraj","nptel","unknown","free","null","Networks, signals and systems form the basic foundations of electrical engineering. Any electrical engineering product handles signals using electrical networks and circuits, which are called systems. Having a good understanding of signals and their time/frequency domain characterization is an absolute must for any electrical engineer. This course is a basic introduction to discrete and continuous-time signals, Fourier series, Fourier transforms and Laplace transforms.","online","0.0","db3","remote","yes"
"236.0","Demystifying the Brain","Prof. Srinivas Chakravarthy","nptel","unknown","free","null","The course presents the contemporary computational perspective of the brain function using few or no equations. Therefore, it is accessible to people coming from both biological sciences and engineering sciences. To the biologist or a medical expert it presents brain function from a computational point of view in simple terms without equations. To the engineer (or someone from the âhardâ sciences) it presents neuroscience in an engineering-style without using too much biology jargon.","online","0.0","db3","remote","yes"
"241.0","Design for Quality, Manufacturing and Assembly","Prof. Palaniappan Ramu","nptel","unknown","free","null","In the context of product design, it is very important to appreciate the limitations of a design from manufacturing and assembly perspective and to produce high quality products at low cost. This course will introduce methods that can provide guidance to design teams in simplifying product structure to reduce manufacturing and assembly costs, quantify improvements and how robust design concepts can be used for ensuring quality. This course aims at introducing the need to account for variability, mathematically represent it, formulate it and control it. Concepts such as quality, robustness, six sigma and orthogonal array will be discussed.","online","2893.0","db3","remote","yes"
"243.0","Transform Calculus and its Applications in Differential Equations","Prof. ADRIJIT GOSWAMI","nptel","unknown","free","null","For undergraduate students in the discipline of Mathematics, the course on Transform Calculus has become an integral part. This course is designed to train students with the basic Integral Transform techniques.
 Application of these transforms techniques in solving ordinary differential equations and partial differential equations will be discussed. We will also introduce some higher level concepts that will prepare them for future research and development projects. The course outline is given for each week. We will introduce each topic and give an overview of the topic and underlying theory. This will be followed by some solved numerical examples on each topic for their better understanding. Weekly assignments will be provided and graded.","online","857.0","db3","remote","yes"
